dated_uid,dater_uid,interests_correlation,dater_liked_dated,probability_dated_wants_to_date,already_met_before,dater_wants_to_date,dated_wants_to_date,is_match
228619901404,470974088216,0.14,7.0,6.0,True,True,False,0
893265985235,470974088216,0.54,7.0,5.0,True,True,False,0
248910540851,470974088216,0.61,7.0,6.0,True,True,True,1
965464370378,470974088216,0.21,6.0,6.0,True,True,True,1
405533056955,470974088216,0.25,6.0,5.0,True,False,True,0
860315782520,470974088216,0.34,6.0,5.0,True,True,False,0
891400566773,470974088216,0.28,7.0,7.0,True,True,True,1
222389758252,470974088216,-0.36,6.0,6.0,True,True,False,0
228619901404,377531038735,0.29,6.0,4.0,True,False,False,0
893265985235,377531038735,0.18,7.0,3.0,True,False,False,0
679117384151,377531038735,0.1,6.0,7.0,True,False,True,0
248910540851,377531038735,-0.21,7.0,8.0,True,True,True,1
965464370378,377531038735,0.32,8.0,6.0,True,False,True,0
405533056955,377531038735,0.73,6.0,5.0,True,False,True,0
860315782520,377531038735,0.6,8.0,7.0,True,True,False,0
509979205051,377531038735,0.07,5.0,6.0,True,False,True,0
891400566773,377531038735,0.11,5.0,6.0,True,True,True,1
222389758252,377531038735,0.39,8.0,7.0,True,True,False,0
228619901404,904356017601,-0.18,6.0,7.0,True,False,False,0
893265985235,904356017601,-0.18,8.0,1.0,True,False,False,0
679117384151,904356017601,0.05,4.0,1.0,True,False,True,0
248910540851,904356017601,-0.18,8.0,10.0,True,True,True,1
965464370378,904356017601,0.21,7.0,7.0,True,False,True,0
405533056955,904356017601,0.37,4.0,3.0,True,False,True,0
860315782520,904356017601,0.35,5.0,1.0,True,False,True,0
509979205051,904356017601,0.15,6.0,6.0,True,False,False,0
891400566773,904356017601,-0.47,8.0,8.0,True,True,True,1
222389758252,904356017601,-0.19,10.0,8.0,True,True,False,0
228619901404,241875085602,0.33,6.0,6.0,True,True,False,0
893265985235,241875085602,0.37,7.0,6.0,True,True,False,0
679117384151,241875085602,-0.51,6.0,2.0,True,False,True,0
248910540851,241875085602,0.12,9.0,4.0,True,True,True,1
965464370378,241875085602,0.35,4.0,3.0,True,False,True,0
405533056955,241875085602,0.19,2.0,2.0,True,False,True,0
860315782520,241875085602,0.47,8.0,7.0,True,True,False,0
509979205051,241875085602,0.03,5.0,5.0,True,False,False,0
891400566773,241875085602,0.46,9.0,6.0,True,True,True,1
222389758252,241875085602,0.43,9.0,8.0,True,True,False,0
228619901404,376556943326,0.19,7.0,4.0,True,False,False,0
893265985235,376556943326,0.21,7.0,3.0,True,False,True,0
679117384151,376556943326,0.52,7.0,8.0,True,False,True,0
248910540851,376556943326,-0.46,8.0,6.0,True,True,True,1
965464370378,376556943326,-0.27,5.0,6.0,True,False,True,0
405533056955,376556943326,0.59,5.0,5.0,True,False,True,0
860315782520,376556943326,0.31,8.0,7.0,True,True,False,0
509979205051,376556943326,0.08,5.0,7.0,True,False,True,0
891400566773,376556943326,-0.34,6.0,6.0,True,True,True,1
222389758252,376556943326,-0.16,7.0,5.0,True,True,False,0
228619901404,442846029935,0.19,5.0,5.0,True,True,False,0
893265985235,442846029935,0.03,10.0,5.0,True,True,True,1
679117384151,442846029935,0.68,8.0,5.0,True,True,True,1
248910540851,442846029935,-0.26,7.0,5.0,True,True,True,1
965464370378,442846029935,-0.01,5.0,5.0,True,True,True,1
405533056955,442846029935,0.42,6.0,5.0,True,True,True,1
860315782520,442846029935,0.21,7.0,5.0,True,True,True,1
509979205051,442846029935,0.1,7.0,5.0,True,True,False,0
891400566773,442846029935,-0.35,7.0,6.0,True,True,True,1
222389758252,442846029935,-0.23,8.0,5.0,True,True,False,0
470974088216,228619901404,0.14,7.0,4.0,True,False,True,0
377531038735,228619901404,0.29,7.0,2.0,True,False,False,0
758074869557,228619901404,-0.24,5.0,2.0,True,False,False,0
904356017601,228619901404,-0.18,6.0,3.0,True,False,False,0
238957697401,228619901404,-0.43,6.0,5.0,True,False,False,0
241875085602,228619901404,0.33,7.0,4.0,True,False,True,0
376556943326,228619901404,0.19,7.0,4.0,True,False,False,0
215862483279,228619901404,-0.03,7.0,4.0,True,False,True,0
442846029935,228619901404,0.19,6.0,4.0,True,False,True,0
470974088216,893265985235,0.54,8.0,4.0,True,False,True,0
377531038735,893265985235,0.18,8.0,4.0,True,False,False,0
758074869557,893265985235,-0.14,7.0,3.0,True,False,False,0
904356017601,893265985235,-0.18,6.0,3.0,True,False,False,0
238957697401,893265985235,0.0,7.0,4.0,True,False,False,0
241875085602,893265985235,0.37,7.0,4.0,True,False,True,0
376556943326,893265985235,0.21,8.0,4.0,True,True,False,0
215862483279,893265985235,-0.11,9.0,4.0,True,True,True,1
442846029935,893265985235,0.03,8.0,4.0,True,True,True,1
470974088216,405533056955,0.25,7.0,6.0,True,True,False,0
377531038735,405533056955,0.73,7.0,5.0,True,True,False,0
758074869557,405533056955,-0.3,6.0,7.0,True,True,False,0
904356017601,405533056955,0.37,6.0,6.0,True,True,False,0
238957697401,405533056955,0.06,6.0,7.0,True,False,True,0
241875085602,405533056955,0.19,6.0,6.0,True,True,False,0
376556943326,405533056955,0.59,7.0,7.0,True,True,False,0
215862483279,405533056955,0.28,7.0,6.0,True,True,True,1
442846029935,405533056955,0.42,6.0,5.0,True,True,True,1
470974088216,860315782520,0.34,2.0,1.0,True,False,True,0
377531038735,860315782520,0.6,4.0,3.0,True,False,True,0
758074869557,860315782520,-0.26,2.0,2.0,True,False,False,0
904356017601,860315782520,0.35,6.0,4.0,True,True,False,0
238957697401,860315782520,-0.05,3.0,3.0,True,False,True,0
241875085602,860315782520,0.47,3.0,3.0,True,False,True,0
376556943326,860315782520,0.31,5.0,4.0,True,False,True,0
215862483279,860315782520,0.05,4.0,4.0,True,False,True,0
442846029935,860315782520,0.21,8.0,4.0,True,True,True,1
470974088216,509979205051,0.5,7.0,5.0,True,False,False,0
377531038735,509979205051,0.07,7.0,6.0,True,True,False,0
758074869557,509979205051,0.29,5.0,1.0,True,False,False,0
904356017601,509979205051,0.15,7.0,7.0,True,False,False,0
238957697401,509979205051,0.07,6.0,5.0,True,False,True,0
241875085602,509979205051,0.03,7.0,6.0,True,False,False,0
376556943326,509979205051,0.08,7.0,5.0,True,True,False,0
215862483279,509979205051,0.17,7.0,5.0,True,True,True,1
442846029935,509979205051,0.1,7.0,5.0,True,False,True,0
470974088216,222389758252,-0.36,6.0,6.0,True,False,True,0
377531038735,222389758252,0.39,6.0,9.0,True,False,True,0
758074869557,222389758252,-0.47,5.0,5.0,True,False,False,0
904356017601,222389758252,-0.19,7.0,7.0,True,False,True,0
238957697401,222389758252,-0.06,4.0,10.0,True,False,True,0
241875085602,222389758252,0.43,6.0,7.0,True,False,True,0
376556943326,222389758252,-0.16,7.0,7.0,True,False,True,0
215862483279,222389758252,-0.21,8.0,8.0,True,True,True,1
442846029935,222389758252,-0.23,6.0,6.0,True,False,True,0
386144918766,222389758252,0.08,7.0,7.0,True,False,True,0
541051586099,360707330912,-0.23,9.0,1.0,True,False,False,0
973290654474,360707330912,0.43,6.0,1.0,True,False,False,0
507587518613,360707330912,-0.4,6.0,1.0,True,False,True,0
109267849144,360707330912,0.01,5.0,2.0,True,False,True,0
373494866507,360707330912,0.22,8.0,2.0,True,False,False,0
289851002125,360707330912,-0.06,5.0,1.0,True,False,True,0
524349652669,360707330912,-0.08,6.0,1.0,True,False,False,0
163984239808,360707330912,0.28,9.0,5.0,True,True,False,0
465500010421,360707330912,0.44,2.0,1.0,True,False,False,0
712660052731,360707330912,0.62,6.0,1.0,True,False,False,0
190134196290,360707330912,-0.08,6.0,1.0,True,False,False,0
660622561882,360707330912,-0.2,6.0,1.0,True,False,False,0
773972229250,360707330912,0.39,8.0,3.0,True,False,False,0
541051586099,551850586197,0.29,6.0,4.0,True,False,False,0
801902240868,551850586197,0.44,3.0,2.0,True,False,False,0
973290654474,551850586197,-0.04,4.0,3.0,True,False,False,0
507587518613,551850586197,-0.21,6.0,6.0,True,True,True,1
109267849144,551850586197,-0.02,6.0,6.0,True,True,True,1
373494866507,551850586197,-0.33,7.0,4.0,True,True,False,0
465500010421,551850586197,-0.52,2.0,1.0,True,False,False,0
712660052731,551850586197,0.03,2.0,2.0,True,False,False,0
190134196290,551850586197,0.5,8.0,5.0,True,True,False,0
660622561882,551850586197,0.33,4.0,2.0,True,False,False,0
773972229250,551850586197,0.16,7.0,6.0,True,True,False,0
541051586099,868622948248,0.22,8.0,6.0,True,True,False,0
973290654474,868622948248,-0.35,7.0,6.0,True,True,True,1
507587518613,868622948248,-0.17,9.0,10.0,True,True,True,1
109267849144,868622948248,-0.1,7.0,5.0,True,True,True,1
373494866507,868622948248,-0.52,7.0,5.0,True,True,False,0
289851002125,868622948248,0.21,6.0,5.0,True,False,True,0
524349652669,868622948248,0.58,6.0,5.0,True,False,False,0
163984239808,868622948248,-0.23,8.0,6.0,True,True,False,0
465500010421,868622948248,-0.57,6.0,4.0,True,False,False,0
712660052731,868622948248,-0.13,6.0,5.0,True,False,False,0
660622561882,868622948248,0.35,6.0,4.0,True,False,True,0
773972229250,868622948248,0.1,6.0,5.0,True,False,False,0
289851002125,783796432822,0.04,7.0,7.0,True,False,True,0
541051586099,159789411810,-0.12,6.0,4.0,True,False,False,0
973290654474,159789411810,-0.2,4.0,5.0,True,False,True,0
507587518613,159789411810,-0.29,5.0,4.0,True,False,True,0
109267849144,159789411810,-0.01,7.0,5.0,True,False,True,0
373494866507,159789411810,-0.24,8.0,7.0,True,False,True,0
289851002125,159789411810,-0.05,8.0,4.0,True,False,True,0
163984239808,159789411810,0.06,9.0,8.0,True,False,True,0
465500010421,159789411810,0.11,6.0,7.0,True,False,False,0
712660052731,159789411810,0.28,5.0,4.0,True,False,True,0
190134196290,159789411810,0.11,7.0,7.0,True,False,True,0
660622561882,159789411810,-0.15,6.0,7.0,True,False,True,0
773972229250,159789411810,0.53,7.0,5.0,True,False,True,0
541051586099,871625094976,-0.38,2.0,2.0,True,False,False,0
973290654474,871625094976,-0.02,2.0,3.0,True,False,True,0
507587518613,871625094976,0.46,5.0,4.0,True,False,True,0
109267849144,871625094976,-0.06,2.0,2.0,True,False,True,0
373494866507,871625094976,0.22,6.0,5.0,True,False,True,0
289851002125,871625094976,-0.05,2.0,2.0,True,False,True,0
163984239808,871625094976,0.02,5.0,5.0,True,False,True,0
465500010421,871625094976,0.05,6.0,4.0,True,False,True,0
712660052731,871625094976,0.06,5.0,4.0,True,False,True,0
190134196290,871625094976,0.08,6.0,6.0,True,False,True,0
660622561882,871625094976,0.16,3.0,3.0,True,False,True,0
773972229250,871625094976,0.03,6.0,5.0,True,False,True,0
973290654474,431749995052,-0.16,2.0,3.0,True,False,True,0
507587518613,431749995052,0.44,1.0,4.0,True,False,True,0
109267849144,431749995052,-0.27,1.0,2.0,True,False,True,0
373494866507,431749995052,0.29,6.0,5.0,True,True,True,1
289851002125,431749995052,-0.28,3.0,5.0,True,False,True,0
465500010421,431749995052,0.2,2.0,3.0,True,False,True,0
712660052731,431749995052,-0.31,1.0,3.0,True,False,True,0
190134196290,431749995052,-0.07,3.0,3.0,True,False,True,0
660622561882,431749995052,-0.06,1.0,2.0,True,False,True,0
773972229250,431749995052,-0.16,4.0,1.0,True,False,True,0
507587518613,502471685886,-0.41,6.0,4.0,True,True,True,1
109267849144,502471685886,0.08,6.0,4.0,True,True,True,1
524349652669,502471685886,0.11,8.0,5.0,True,True,False,0
163984239808,502471685886,0.2,5.0,6.0,True,False,True,0
465500010421,502471685886,-0.05,6.0,5.0,True,True,False,0
712660052731,502471685886,0.42,8.0,7.0,True,True,False,0
773972229250,502471685886,0.52,6.0,6.0,True,True,False,0
541051586099,219360362705,0.19,6.0,5.0,True,False,False,0
973290654474,219360362705,0.21,6.0,5.0,True,False,False,0
507587518613,219360362705,-0.27,7.0,4.0,True,False,True,0
109267849144,219360362705,-0.41,4.0,3.0,True,False,True,0
373494866507,219360362705,-0.02,7.0,6.0,True,False,False,0
289851002125,219360362705,0.09,8.0,6.0,True,False,False,0
465500010421,219360362705,-0.27,4.0,4.0,True,False,False,0
712660052731,219360362705,0.11,7.0,7.0,True,False,False,0
190134196290,219360362705,0.16,9.0,6.0,True,True,False,0
660622561882,219360362705,0.21,6.0,5.0,True,False,False,0
773972229250,219360362705,0.49,8.0,5.0,True,True,True,1
541051586099,925447563155,-0.19,5.0,4.0,True,False,False,0
973290654474,925447563155,-0.48,5.0,4.0,True,False,True,0
507587518613,925447563155,0.0,5.0,4.0,True,False,True,0
109267849144,925447563155,-0.38,5.0,4.0,True,False,True,0
373494866507,925447563155,-0.34,7.0,4.0,True,False,True,0
289851002125,925447563155,-0.27,4.0,3.0,True,False,True,0
465500010421,925447563155,-0.35,5.0,4.0,True,False,True,0
712660052731,925447563155,0.03,6.0,4.0,True,False,True,0
190134196290,925447563155,0.4,6.5,6.0,True,False,True,0
660622561882,925447563155,0.26,5.0,5.0,True,False,True,0
773972229250,925447563155,-0.32,8.5,9.0,True,True,True,1
973290654474,387004643452,-0.13,5.0,3.0,True,False,False,0
507587518613,387004643452,-0.11,6.0,3.0,True,False,True,0
109267849144,387004643452,-0.19,8.0,5.0,True,False,True,0
289851002125,387004643452,0.06,6.0,5.0,True,False,True,0
524349652669,387004643452,0.52,7.0,2.0,True,False,False,0
163984239808,387004643452,0.0,7.0,5.0,True,False,True,0
465500010421,387004643452,-0.41,5.0,3.0,True,False,False,0
712660052731,387004643452,0.17,5.0,3.0,True,False,True,0
190134196290,387004643452,0.5,7.0,5.0,True,False,True,0
660622561882,387004643452,0.19,7.0,5.0,True,False,True,0
773972229250,387004643452,0.2,7.0,3.0,True,False,False,0
541051586099,887107955435,-0.29,8.0,5.0,True,True,False,0
801902240868,887107955435,0.77,5.0,3.0,True,False,False,0
973290654474,887107955435,0.09,6.0,3.0,True,True,False,0
507587518613,887107955435,-0.15,4.0,2.0,True,False,True,0
109267849144,887107955435,-0.41,5.0,2.0,True,False,False,0
373494866507,887107955435,-0.49,6.0,2.0,True,False,False,0
289851002125,887107955435,-0.18,6.0,2.0,True,False,True,0
163984239808,887107955435,-0.15,7.0,2.0,True,False,True,0
787025322133,887107955435,-0.46,7.0,3.0,True,True,False,0
465500010421,887107955435,0.3,3.0,1.0,True,False,False,0
712660052731,887107955435,-0.22,8.0,4.0,True,True,False,0
190134196290,887107955435,-0.24,6.0,3.0,True,False,False,0
660622561882,887107955435,-0.29,5.0,2.0,True,False,False,0
773972229250,887107955435,-0.15,5.0,2.0,True,False,False,0
801902240868,633392941756,0.35,5.0,5.0,True,False,False,0
507587518613,633392941756,-0.24,5.0,4.0,True,False,True,0
109267849144,633392941756,-0.05,5.0,3.0,True,False,True,0
289851002125,633392941756,0.12,5.0,4.0,True,False,True,0
524349652669,633392941756,0.43,4.0,4.0,True,False,True,0
163984239808,633392941756,-0.01,7.0,7.0,True,True,True,1
465500010421,633392941756,-0.19,3.0,3.0,True,False,False,0
712660052731,633392941756,0.35,4.0,3.0,True,False,False,0
190134196290,633392941756,0.24,5.0,4.0,True,False,True,0
541051586099,604861376907,-0.25,7.0,7.0,True,True,False,0
801902240868,604861376907,0.19,8.0,6.0,True,False,False,0
973290654474,604861376907,0.26,8.0,8.0,True,False,True,0
109267849144,604861376907,-0.01,8.0,8.0,True,True,True,1
373494866507,604861376907,0.01,8.0,8.0,True,True,True,1
289851002125,604861376907,-0.21,6.0,8.0,True,False,True,0
524349652669,604861376907,0.45,7.0,7.0,True,True,False,0
163984239808,604861376907,0.18,8.0,8.0,True,True,True,1
465500010421,604861376907,0.09,7.0,5.0,True,True,False,0
712660052731,604861376907,0.43,7.0,8.0,True,False,True,0
190134196290,604861376907,-0.2,8.0,7.0,True,True,True,1
660622561882,604861376907,-0.29,7.0,8.0,True,False,True,0
773972229250,604861376907,0.33,8.0,8.0,True,False,True,0
541051586099,424170555372,-0.04,2.0,5.0,True,False,False,0
973290654474,424170555372,0.05,1.0,6.0,True,False,True,0
109267849144,424170555372,-0.06,3.0,5.0,True,False,True,0
373494866507,424170555372,0.29,3.0,5.0,True,False,False,0
289851002125,424170555372,0.16,1.0,6.0,True,False,True,0
524349652669,424170555372,0.28,2.0,5.0,True,False,False,0
163984239808,424170555372,0.0,8.0,5.0,True,True,True,1
465500010421,424170555372,-0.47,5.0,6.0,True,True,True,1
712660052731,424170555372,-0.15,3.0,6.0,True,False,True,0
190134196290,424170555372,0.77,7.0,6.0,True,True,False,0
660622561882,424170555372,0.83,4.0,5.0,True,False,False,0
773972229250,424170555372,-0.12,5.0,5.0,True,False,True,0
541051586099,759559317405,0.13,3.0,6.0,True,False,False,0
973290654474,759559317405,-0.02,3.0,2.0,True,False,False,0
507587518613,759559317405,0.31,7.0,7.0,True,True,True,1
109267849144,759559317405,-0.01,4.0,3.0,True,False,True,0
373494866507,759559317405,0.09,6.0,6.0,True,True,False,0
524349652669,759559317405,0.57,7.0,6.0,True,True,False,0
163984239808,759559317405,-0.01,3.0,3.0,True,False,False,0
465500010421,759559317405,-0.47,6.0,2.0,True,True,False,0
712660052731,759559317405,-0.05,5.0,5.0,True,True,True,1
190134196290,759559317405,0.46,6.0,4.0,True,True,False,0
660622561882,759559317405,0.68,3.0,3.0,True,False,False,0
541051586099,492716412104,-0.15,5.0,1.0,True,False,False,0
973290654474,492716412104,-0.61,5.0,1.0,True,False,False,0
507587518613,492716412104,-0.16,5.0,1.0,True,False,True,0
109267849144,492716412104,-0.19,4.0,1.0,True,False,True,0
373494866507,492716412104,-0.32,6.0,2.0,True,False,True,0
289851002125,492716412104,-0.14,8.0,2.0,True,False,True,0
163984239808,492716412104,-0.36,7.0,2.0,True,True,True,1
465500010421,492716412104,-0.3,7.0,1.0,True,False,False,0
712660052731,492716412104,0.32,6.0,2.0,True,False,False,0
190134196290,492716412104,0.22,2.0,1.0,True,False,False,0
660622561882,492716412104,0.11,5.0,1.0,True,False,False,0
773972229250,492716412104,0.11,9.0,6.0,True,True,True,1
541051586099,196672589451,0.07,7.0,6.0,True,True,False,0
973290654474,196672589451,-0.23,8.0,7.0,True,True,False,0
507587518613,196672589451,-0.01,2.0,1.0,True,False,True,0
109267849144,196672589451,-0.08,5.0,1.0,True,False,False,0
289851002125,196672589451,0.12,7.0,5.0,True,True,True,1
524349652669,196672589451,0.5,7.0,3.0,True,True,False,0
360707330912,541051586099,-0.23,4.0,1.0,True,False,False,0
551850586197,541051586099,0.29,3.0,1.0,True,False,False,0
868622948248,541051586099,0.22,1.0,1.0,True,False,True,0
159789411810,541051586099,-0.12,3.0,1.0,True,False,False,0
871625094976,541051586099,-0.38,3.0,1.0,True,False,False,0
219360362705,541051586099,0.19,2.0,1.0,True,False,False,0
925447563155,541051586099,-0.19,2.0,1.0,True,False,False,0
887107955435,541051586099,-0.29,6.0,1.0,True,False,True,0
604861376907,541051586099,-0.25,3.0,1.0,True,False,True,0
424170555372,541051586099,-0.04,3.0,2.0,True,False,False,0
759559317405,541051586099,0.13,1.0,1.0,True,False,False,0
492716412104,541051586099,-0.15,3.0,1.0,True,False,False,0
196672589451,541051586099,0.07,3.0,1.0,True,False,True,0
360707330912,801902240868,0.46,6.0,7.0,True,False,True,0
551850586197,801902240868,0.44,2.0,1.0,True,False,False,0
887107955435,801902240868,0.77,6.0,2.0,True,False,False,0
633392941756,801902240868,0.35,5.0,6.0,True,False,False,0
604861376907,801902240868,0.19,4.0,1.0,True,False,False,0
360707330912,973290654474,0.43,5.0,2.0,True,False,False,0
551850586197,973290654474,-0.04,5.0,2.0,True,False,False,0
868622948248,973290654474,-0.35,6.0,4.0,True,True,True,1
159789411810,973290654474,-0.2,6.0,1.0,True,True,False,0
871625094976,973290654474,-0.02,5.0,4.0,True,True,False,0
431749995052,973290654474,-0.16,6.0,2.0,True,True,False,0
219360362705,973290654474,0.21,3.0,2.0,True,False,False,0
925447563155,973290654474,-0.48,6.0,2.0,True,True,False,0
387004643452,973290654474,-0.13,6.0,1.0,True,False,False,0
887107955435,973290654474,0.09,4.0,3.0,True,False,True,0
604861376907,973290654474,0.26,5.0,1.0,True,True,False,0
424170555372,973290654474,0.05,5.0,4.0,True,True,False,0
759559317405,973290654474,-0.02,4.0,1.0,True,False,False,0
492716412104,973290654474,-0.61,5.0,2.0,True,False,False,0
196672589451,973290654474,-0.23,6.0,4.0,True,False,True,0
360707330912,507587518613,-0.4,8.0,8.0,True,True,False,0
551850586197,507587518613,-0.21,6.0,5.0,True,True,True,1
868622948248,507587518613,-0.17,8.0,8.0,True,True,True,1
159789411810,507587518613,-0.29,7.0,6.0,True,True,False,0
871625094976,507587518613,0.46,9.0,7.0,True,True,False,0
431749995052,507587518613,0.44,7.0,6.0,True,True,False,0
502471685886,507587518613,-0.41,7.0,5.0,True,True,True,1
219360362705,507587518613,-0.27,8.0,7.0,True,True,False,0
925447563155,507587518613,0.0,9.0,7.0,True,True,False,0
387004643452,507587518613,-0.11,9.0,8.0,True,True,False,0
887107955435,507587518613,-0.15,6.0,6.0,True,True,False,0
633392941756,507587518613,-0.24,8.0,8.0,True,True,False,0
