Profile ID,Religion,Caste,Mother Tongue,"Age, Height",Profession,Education,Location
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
VVF8874,Hindu , Brahmin Gour,Hindi,"22 Yrs,   4ft 4in - 132cm",Not Working,Bachelors in Arts,India - Odisha - Cuttack
VVZ5841,Hindu , Maratha,English,"26 Yrs,   5ft 4in - 162cm",Scientist,Masters in Medicine,India - Maharashtra - Navi Mumbai
VVF8907,Muslim , Hanafi,Urdu,"21 Yrs,   5ft 1in - 154cm",Not Working,Bachelors in Nursing/ Health Sciences,India - Telangana - Hyderabad
VVH2947,Hindu , Brahmin Himachali,Hindi,"35 Yrs,   5ft 4in - 162cm",Not Working,Bachelors in Commerce,India - Himachal Pradesh - Shimla
VVF8880,Hindu , Koli,Kannada,"30 Yrs,   5ft 4in - 162cm",Doctor,Masters in Medicine,India - Karnataka - Bidar
VHQ0512,Hindu , Kuruba,Kannada,"30 Yrs,   5ft 4in - 162cm",Admin/ Front Office,Bachelors in Commerce,India - Karnataka - Bangalore
VHB5951,Hindu , Brahmin,Punjabi,"35 Yrs,   5ft - 152cm",Not Working,High School in Arts,India - Delhi - New Delhi
VHT6155,Buddhist , Buddhist,Marathi,"33 Yrs,   5ft 2in - 157cm",Other,Other in Fashion,India - Maharashtra - Wardha
VVF8594,Hindu , Rajput,Kumoani,"32 Yrs,   5ft 4in - 162cm",Consultant,Masters in Finance,India - Uttar Pradesh - Greater Noida
VVY5146,Hindu , Vishwakarma,Bhojpuri,"35 Yrs,   5ft - 152cm",Chartered Accountant,Bachelors in Commerce,India - Jharkhand - Jamshedpur
